date,home,score,away,home_score,away_score
03/05/2019 , Horseed S.C ,3 : 1, Jazeera SC ,3.0,1.0
07/06/2019 , Madbacadda FC ,0 : 2, Dekedda SC ,0.0,2.0
08/06/2019 , Midnimo FC ,0 : 0, Jeenyo  FC ,0.0,0.0
09/06/2019 , Elman FC ,3 : 1, Gaadiidka FC ,3.0,1.0
10/06/2019 , Horseed S.C ,1 : 0, Mogadishu City Club ,1.0,0.0
11/06/2019 , Jazeera SC ,0 : 0, Heegan S.C ,0.0,0.0
12/06/2019 , Elman FC ,1 : 1, Madbacadda FC ,1.0,1.0
12/06/2019 , Dekedda SC ,1 : 0, Midnimo FC ,1.0,0.0
13/06/2019 , Horseed S.C ,3 : 0, Jeenyo  FC ,3.0,0.0
13/06/2019 , Jazeera SC ,2 : 2, Gaadiidka FC ,2.0,2.0
14/06/2019 , Heegan S.C ,0 : 0, Mogadishu City Club ,0.0,0.0
15/06/2019 , Elman FC ,2 : 0, Dekedda SC ,2.0,0.0
15/06/2019 , Horseed S.C ,3 : 0, Midnimo FC ,3.0,0.0
17/06/2019 , Jazeera SC ,0 : 0, Madbacadda FC ,0.0,0.0
18/06/2019 , Heegan S.C ,1 : 1, Jeenyo  FC ,1.0,1.0
19/06/2019 , Mogadishu City Club ,1 : 0, Gaadiidka FC ,1.0,0.0
20/06/2019 , Dekedda SC ,1 : 1, Horseed S.C ,1.0,1.0
20/06/2019 , Jazeera SC ,2 : 2, Elman FC ,2.0,2.0
21/06/2019 , Heegan S.C ,2 : 0, Midnimo FC ,2.0,0.0
21/06/2019 , Mogadishu City Club ,0 : 0, Madbacadda FC ,0.0,0.0
22/06/2019 , Gaadiidka FC ,2 : 1, Jeenyo  FC ,2.0,1.0
24/06/2019 , Jazeera SC ,1 : 4, Dekedda SC ,1.0,4.0
25/06/2019 , Heegan S.C ,1 : 1, Horseed S.C ,1.0,1.0
26/06/2019 , Mogadishu City Club ,2 : 2, Elman FC ,2.0,2.0
27/06/2019 , Gaadiidka FC ,1 : 0, Midnimo FC ,1.0,0.0
28/06/2019 , Jeenyo  FC ,2 : 4, Madbacadda FC ,2.0,4.0
29/06/2019 , Dekedda SC ,1 : 0, Heegan S.C ,1.0,0.0
30/06/2019 , Mogadishu City Club ,4 : 5, Jazeera SC ,4.0,5.0
01/07/2019 , Gaadiidka FC ,0 : 3, Horseed S.C ,0.0,3.0
01/07/2019 , Jeenyo  FC ,2 : 6, Elman FC ,2.0,6.0
02/07/2019 , Madbacadda FC ,0 : 1, Midnimo FC ,0.0,1.0
02/07/2019 , Mogadishu City Club ,2 : 3, Dekedda SC ,2.0,3.0
03/07/2019 , Gaadiidka FC ,0 : 1, Heegan S.C ,0.0,1.0
03/07/2019 , Jeenyo  FC ,2 : 4, Jazeera SC ,2.0,4.0
04/07/2019 , Madbacadda FC ,0 : 3, Horseed S.C ,0.0,3.0
04/07/2019 , Midnimo FC ,0 : 0, Elman FC ,0.0,0.0
26/12/2019 , Raadsan FC ,3 : 0, Gaadiidka FC ,3.0,0.0
26/12/2019 , Dekedda SC ,1 : 1, Midnimo FC ,1.0,1.0
28/12/2019 , Mogadishu City Club ,1 : 2, Rajo FC ,1.0,2.0
28/12/2019 , Elman FC ,1 : 1, Heegan S.C ,1.0,1.0
30/12/2019 , Horseed S.C ,1 : 1, Jazeera SC ,1.0,1.0
01/01/2020 , Gaadiidka FC ,0 : 1, Dekedda SC ,0.0,1.0
02/01/2020 , Midnimo FC ,0 : 2, Heegan S.C ,0.0,2.0
03/01/2020 , Raadsan FC ,2 : 2, Rajo FC ,2.0,2.0
06/01/2020 , Elman FC ,4 : 1, Jazeera SC ,4.0,1.0
07/01/2020 , Mogadishu City Club ,0 : 0, Horseed S.C ,0.0,0.0
08/01/2020 , Dekedda SC ,2 : 1, Heegan S.C ,2.0,1.0
09/01/2020 , Gaadiidka FC ,3 : 1, Rajo FC ,3.0,1.0
10/01/2020 , Midnimo FC ,3 : 0, Jazeera SC ,3.0,0.0
13/01/2020 , Raadsan FC ,2 : 4, Horseed S.C ,2.0,4.0
14/01/2020 , Elman FC ,1 : 1, Mogadishu City Club ,1.0,1.0
15/01/2020 , Rajo FC ,0 : 2, Dekedda SC ,0.0,2.0
16/01/2020 , Heegan S.C ,2 : 0, Jazeera SC ,2.0,0.0
17/01/2020 , Gaadiidka FC ,0 : 1, Horseed S.C ,0.0,1.0
20/01/2020 , Midnimo FC ,0 : 4, Mogadishu City Club ,0.0,4.0
21/01/2020 , Raadsan FC ,2 : 3, Elman FC ,2.0,3.0
22/01/2020 , Dekedda SC ,2 : 1, Jazeera SC ,2.0,1.0
23/01/2020 , Rajo FC ,0 : 2, Horseed S.C ,0.0,2.0
24/01/2020 , Heegan S.C ,0 : 3, Mogadishu City Club ,0.0,3.0
27/01/2020 , Gaadiidka FC ,1 : 3, Elman FC ,1.0,3.0
28/01/2020 , Midnimo FC ,0 : 3, Raadsan FC ,0.0,3.0
29/01/2020 , Horseed S.C ,0 : 0, Dekedda SC ,0.0,0.0
30/01/2020 , Jazeera SC ,1 : 3, Mogadishu City Club ,1.0,3.0
31/01/2020 , Rajo FC ,1 : 6, Elman FC ,1.0,6.0
03/02/2020 , Heegan S.C ,2 : 1, Raadsan FC ,2.0,1.0
04/02/2020 , Gaadiidka FC ,0 : 2, Midnimo FC ,0.0,2.0
05/02/2020 , Dekedda SC ,0 : 5, Mogadishu City Club ,0.0,5.0
06/02/2020 , Horseed S.C ,2 : 3, Elman FC ,2.0,3.0
07/02/2020 , Jazeera SC ,2 : 2, Raadsan FC ,2.0,2.0
10/02/2020 , Rajo FC ,1 : 1, Midnimo FC ,1.0,1.0
11/02/2020 , Heegan S.C ,1 : 1, Gaadiidka FC ,1.0,1.0
12/02/2020 , Elman FC ,0 : 1, Dekedda SC ,0.0,1.0
13/02/2020 , Mogadishu City Club ,2 : 3, Raadsan FC ,2.0,3.0
14/02/2020 , Horseed S.C ,1 : 0, Midnimo FC ,1.0,0.0
17/02/2020 , Jazeera SC ,1 : 1, Gaadiidka FC ,1.0,1.0
18/02/2020 , Rajo FC ,1 : 2, Heegan S.C ,1.0,2.0
19/02/2020 , Dekedda SC ,1 : 0, Raadsan FC ,1.0,0.0
20/02/2020 , Elman FC ,1 : 1, Midnimo FC ,1.0,1.0
21/02/2020 , Mogadishu City Club ,3 : 0, Gaadiidka FC ,3.0,0.0
24/02/2020 , Horseed S.C ,1 : 0, Heegan S.C ,1.0,0.0
25/02/2020 , Jazeera SC ,4 : 2, Rajo FC ,4.0,2.0
02/03/2020 , Midnimo FC ,0 : 0, Dekedda SC ,0.0,0.0
03/03/2020 , Gaadiidka FC ,5 : 0, Raadsan FC ,5.0,0.0
04/03/2020 , Heegan S.C ,3 : 1, Elman FC ,3.0,1.0
